helpForKeyword	:h[elp] keyword
saveAsFile	:sav[eas] file
closePane	:clo[se]
colonTerminal	:ter[minal]
K	K
h	h
j	j
k	k
l	l
gj	gj
gk	gk
H	H
M	M
L	L
w	w
W	W
e	e
E	E
b	b
B	B
ge	ge
gE	gE
percent	%
zero	0
caret	^
dollar	$
g_	g_
gg	gg
G	G
fiveG	5gg
gd	gd
gD	gD
fx	fx
tx	tx
Fx	Fx
Tx	Tx
semicolon	;
comma	,
closeCurlyBrace	}
openCurlyBrace	{
centerCursor	zz
CtrlPluse	Ctrl
CtrlPlusy	Ctrl
CtrlPlusb	Ctrl
CtrlPlusf	Ctrl
CtrlPlusd	Ctrl
CtrlPlusu	Ctrl
i	i
I	I
a	a
A	A
o	o
O	O
ea	ea
ctrlPlush	Ctrl
ctrlPlusw	Ctrl
ctrlPlusj	Ctrl
ctrlPlust	Ctrl
ctrlPlusd	Ctrl
ctrlPlusn	Ctrl
ctrlPlusp	Ctrl
ctrlPlusrx	Ctrl
ctrlPlusox	Ctrl
Esc	Esc
r	r
R	R
J	J
gJ	gJ
gwip	gwip
gTilde	g~
gu	gu
gU	gU
cc	cc
cDollar	c$
ciw	ciw
cw	cw
s	s
S	S
xp	xp
u	u
U	U
CtrlPlusr	Ctrl
dot	.
v	v
V	V
o	o
CtrlPlusv	Ctrl
O	O
aw	aw
ab	ab
aB	aB
at	at
ib	ib
iB	iB
it	it
Esc	Esc
greaterThan	&#62;
lessThan	&#60;
y	y
d	d
tilde	~
u	u
U	U
show	:reg[isters]
yankIntoRegisterX	"xy
pasteRegisterX	"xp
quotePlusy	"+y
quotePlusp	"+p
list	:marks
currentPositionA	ma
jumpPositionA	`a
yankToMarkA	y`a
backtick0	`0
backtickQuote	`"
backtickDot	`.
backtickBacktick	``
colonjumps	:ju[mps]
ctrlPlusi	Ctrl
ctrlPluso	Ctrl
colonchanges	:changes
gcomma	g,
gsemicolon	g;
ctrlPlusCloseSquare	Ctrl
recordA	qa
stopRecording	q
runA	@a
rerun	@@
yy	yy
twoyy	2yy
yw	yw
yiw	yiw
yaw	yaw
yDollar	y$
p	p
P	P
gp	gp
gP	gP
dd	dd
twodd	2dd
dw	dw
diw	diw
daw	daw
threeToFiveD	:3,5d
gPatternD	:g/{pattern}/d
gNotPatternD	:g!/{pattern}/d
dDollar	d$
x	x
greaterThanGreaterThan	&#62;&#62;
lessThanLessThan	&#60;&#60;
greaterThanPercent	&#62;%
lessThanPercent	&#60;%
greaterThanib	&#62;ib
greaterThanat	&#62;at
3==	3==
=Percent	=%
=iB	=iB
gg=G	gg=G
closeSquarep	]p
colonw	:w
colonwsudo	:w !sudo tee %
colonwq	:wq
colonq	:q
colonqbang	:q!
colonwqa	:wqa
forwardSlashPattern	/pattern
questionMarkPattern	?pattern
backslashVpattern	\vpattern
n	n
N	N
colonnoh	:noh[lsearch]
coloncn	:cn[ext]
coloncp	:cp[revious]
coloncopen	:cope[n]
coloncclose	:ccl[ose]
ctrlPluswT	Ctrl
gt	gt
gT	gT
hashgt	#gt
colontabmove	:tabm[ove] #
colontabc	:tabc[lose]
colontabo	:tabo[nly]
colontabdo	:tabdo
colone	:e[dit] file
colonbd	:bd[elete]
colonbnumber	:b[uffer]#
colonbfile	:b[uffer] file
colonls	:ls
colonsp	:sp[lit] file
colonvsp	:vs[plit] file
colonvertba	:vert[ical] ba[ll]
colontabba	:tab ba[ll]
ctrlPlusws	Ctrl
ctrlPluswv	Ctrl
ctrlPlusww	Ctrl
ctrlPluswq	Ctrl
ctrlPluswx	Ctrl
ctrlPlusw=	Ctrl
ctrlPluswh	Ctrl
ctrlPluswl	Ctrl
ctrlPluswj	Ctrl
ctrlPluswk	Ctrl
ctrlPluswH	Ctrl
ctrlPluswL	Ctrl
ctrlPluswJ	Ctrl
ctrlPluswK	Ctrl
zf	zf
zd	zd
za	za
zo	zo
zc	zc
zr	zr
zm	zm
zi	zi
closeSquarec	]c
openSquarec	[c
do	do
dp	dp
colonDiffthis	:diffthis
colonDiffupdate	:dif[fupdate]
colonDiffoff	:diffo[ff]
